name,url,rss,api,country,state,city,coverage,category,industry,source_type,signals,language,free,notes,feed_checked,feed_kind,feed_role
AIDA,https://aida.gov.al,https://aida.gov.al/feed/,,Albania,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Albanian,Free,"Verified by the europe region audit, 2026-07-29. Albanian Investment Development Agency; primary-source investment announcements.",2026-07-29 200 ok,rss,direct
Albanian Telegraphic Agency,https://ata.gov.al,,,Albania,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Albanian,Free,"Verified by the europe region audit, 2026-07-29. NEEDS HTML PARSING. State news agency, WAF-blocked 403. Feed not wired: not live (403, 0 items) (https://ata.gov.al/feed/).","2026-07-29 not live (403, 0 items)",,direct
Almakos,https://almakos.com,https://almakos.com/feed/,,Albania,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Albanian,Free,"Verified by the europe region audit, 2026-07-29. General news.",2026-07-29 200 ok,rss,direct
Exit.al,https://exit.al,,,Albania,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Albanian,Free,"Verified by the europe region audit, 2026-07-29. NEEDS HTML PARSING. No feed on any path. Feed not wired: not live (404, 0 items) (https://exit.al/feed/).","2026-07-29 not live (404, 0 items)",,direct
Monitor,https://monitor.al,,,Albania,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Albanian,Free,"Verified by the europe region audit, 2026-07-29. Leading business/economy magazine; highest-signal AL source. Feed not wired: robots.txt disallows this path (https://monitor.al/feed/).",2026-07-29 robots.txt disallows this path,,direct
Panorama,https://www.panorama.com.al,,,Albania,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Albanian,Free,"Verified by the europe region audit, 2026-07-29. NEEDS HTML PARSING. National daily, WAF-blocked 403. Feed not wired: not live (403, 0 items) (https://www.panorama.com.al/feed/).","2026-07-29 not live (403, 0 items)",,direct
Reporter.al (BIRN),https://www.reporter.al,https://www.reporter.al/feed/,,Albania,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Albanian,Free,"Verified by the europe region audit, 2026-07-29. Investigative outlet.",2026-07-29 200 ok,rss,direct
Tirana Times,https://www.tiranatimes.com,https://www.tiranatimes.com/feed/,,Albania,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the europe region audit, 2026-07-29. English-language outlet.",2026-07-29 200 ok,rss,direct
Top Channel,https://top-channel.tv,,,Albania,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Albanian,Free,"Verified by the europe region audit, 2026-07-29. NEEDS HTML PARSING. Major broadcaster, WAF-blocked 403. Feed not wired: not live (403, 0 items) (https://top-channel.tv/feed/).","2026-07-29 not live (403, 0 items)",,direct
Algerie Eco,https://algerie-eco.com,https://algerie-eco.com/feed/,,Algeria,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,French,Free,"Verified by the mea region audit, 2026-07-29. Economy/business desk. Note the canonical host drops the www.",2026-07-29 200 ok,rss,direct
Algerie Presse Service (APS),https://www.aps.dz,,,Algeria,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,French/Arabic,Free,"Verified by the mea region audit, 2026-07-29. NO FEED. All paths 404 or return zero items. Feed not wired: not live (200, 0 items) ().","2026-07-29 not live (200, 0 items)",,direct
Maghreb Emergent,https://maghrebemergent.news/fr/,https://maghrebemergent.news/fr/feed/,,Algeria,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,French,Free,"Verified by the mea region audit, 2026-07-29. Publisher moved from maghrebemergent.net to maghrebemergent.news/fr/ - store the new URL.",2026-07-29 200 ok,rss,direct
TSA (Tout Sur l'Algerie),https://www.tsa-algerie.com,https://www.tsa-algerie.com/feed/,,Algeria,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,French,Free,"Verified by the mea region audit, 2026-07-29. Leading independent Algerian title.",2026-07-29 200 ok,rss,direct
Antigua Observer,https://antiguaobserver.com,https://antiguaobserver.com/feed/,,Antigua and Barbuda,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,English,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Ambito Financiero,https://www.ambito.com,https://www.ambito.com/rss/pages/economia.xml,,Argentina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Canal AR,https://www.canal-ar.com.ar,,,Argentina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. NEEDS-HTML. /rss/rss.asp 404; needs HTML parsing [tried: https://www.canal-ar.com.ar/rss/rss.asp] Feed not wired: not live (404, 0 items) ().","2026-07-29 not live (404, 0 items)",,direct
Clarin Economia,https://www.clarin.com,https://www.clarin.com/rss/economia/,,Argentina,,,National,Technology News,Technology,News Organization,Funding; Executive Hire; Company Expansion,Spanish,Free,"Verified by the americas region audit, 2026-07-29. LIVE. verified live",2026-07-29 200 ok,rss,direct
Contxto,https://contxto.com,,,Argentina,,Buenos Aires,Regional,Startup Ecosystem,Technology,Startup Ecosystem,Funding; Expansion,English,Free,"Supplied by the owner, 2026-07-27. Not yet read by a collector. Feed retired 2026-07-29: https://contxto.com/feed/ returned HTTP 404.",2026-07-29 dead: HTTP 404,,
