metro,country,city,publisher,site_url,sector,feed_url,robots,http_status,feed_items,newest_item_age_days,verdict,already_read,evidence
Austin,United States,Austin,Austin American-Statesman,https://www.statesman.com,Local business,https://www.statesman.com/arc/outboundfeeds/rss/,allows,404,,,DEAD,no,2026-08-13: HTTP 404
Austin,United States,Austin,Austin Chamber of Commerce,https://www.austinchamber.com,Economic development,https://www.austinchamber.com/feed,allows,404,,,DEAD,no,2026-08-13: HTTP 404
Austin,United States,Austin,Austin Monitor,https://austinmonitor.com,Local news,https://austinmonitor.com/feed/,allows,200,12,281,STALE,no,"2026-08-13: 12 items, newest 281d old"
Austin,United States,Austin,Dell Medical School,https://dellmed.utexas.edu,Medical research,https://dellmed.utexas.edu/feed,allows,404,,,DEAD,no,2026-08-13: HTTP 404
Austin,United States,Austin,KUT News,https://www.kut.org,Local news,https://www.kut.org/feeds/all.rss,allows,200,12,0,LIVE,no,"2026-08-13: 12 items, newest 0d old, accept=rss"
Austin,United States,Austin,Office of the Texas Governor Economic Development,https://gov.texas.gov,Economic development,https://gov.texas.gov/feed,allows,404,,,DEAD,no,2026-08-13: HTTP 404
Austin,United States,Austin,UT Austin News,https://news.utexas.edu,University research,https://news.utexas.edu/feed/,allows,200,10,3,LIVE,no,"2026-08-13: 10 items, newest 3d old, accept=rss"
Los Angeles,United States,Pasadena,Caltech News,https://www.caltech.edu,University research,https://www.caltech.edu/about/news/rss,allows,200,12,1,LIVE,no,"2026-08-13: 12 items, newest 1d old, accept=rss"
Los Angeles,United States,Los Angeles,Cedars-Sinai Newsroom,https://www.cedars-sinai.org,Medical research,https://www.cedars-sinai.org/rss/newsroom.xml,allows,404,,,DEAD,no,2026-08-13: HTTP 404
Los Angeles,United States,Duarte,City of Hope,https://www.cityofhope.org,Medical research,https://www.cityofhope.org/rss.xml,allows,200,10,9,LIVE,no,"2026-08-13: 10 items, newest 9d old, accept=browser"
Los Angeles,United States,Los Angeles,LAist,https://laist.com,Local news,https://laist.com/index.atom,allows,200,25,0,LIVE,no,"2026-08-13: 25 items, newest 0d old, accept=rss"
Los Angeles,United States,Los Angeles,Los Angeles County EDC,https://laedc.org,Economic development,https://laedc.org/feed/,allows,200,10,34,LIVE,no,"2026-08-13: 10 items, newest 34d old, accept=rss"
Los Angeles,United States,Los Angeles,Los Angeles Times Business,https://www.latimes.com,Local business,https://www.latimes.com/business/rss2.0.xml,allows,200,25,1,LIVE,no,"2026-08-13: 25 items, newest 1d old, accept=rss"
Los Angeles,United States,Santa Ana,Orange County Register Business,https://www.ocregister.com,Local business,https://www.ocregister.com/business/feed/,allows,403,,,DEAD,no,2026-08-13: HTTP 403
Los Angeles,United States,Los Angeles,UCLA Newsroom,https://newsroom.ucla.edu,University research,https://newsroom.ucla.edu/rss.xml,allows,200,20,1,LIVE,no,"2026-08-13: 20 items, newest 1d old, accept=rss"
Los Angeles,United States,Los Angeles,USC News,https://news.usc.edu,University research,https://news.usc.edu/feed/,allows,200,20,1,LIVE,no,"2026-08-13: 20 items, newest 1d old, accept=rss"
New York,United States,Cold Spring Harbor,Cold Spring Harbor Laboratory,https://www.cshl.edu,Bio research,https://www.cshl.edu/feed/,disallows,,,,REFUSED_BY_ROBOTS,no,2026-08-13: the publisher's robots.txt disallows this path
New York,United States,New York,Columbia University News,https://news.columbia.edu,University research,https://news.columbia.edu/rss.xml,allows,200,0,,EMPTY,no,2026-08-13: 200 but the feed parsed to zero items
New York,United States,New York,Empire State Development,https://esd.ny.gov,Economic development,https://esd.ny.gov/rss.xml,allows,403,,,DEAD,no,2026-08-13: HTTP 403
New York,United States,New York,Gothamist,https://gothamist.com,Local news,https://gothamist.com/feed,allows,200,25,1,LIVE,no,"2026-08-13: 25 items, newest 1d old, accept=rss"
New York,United States,New York,Memorial Sloan Kettering Newsroom,https://www.mskcc.org,Medical research,https://www.mskcc.org/rss/news,allows,404,,,DEAD,no,2026-08-13: HTTP 404
New York,United States,New York,Mount Sinai Newsroom,https://www.mountsinai.org,Medical research,https://www.mountsinai.org/about/newsroom/rss,allows,404,,,DEAD,no,2026-08-13: HTTP 404
New York,United States,New York,New York City EDC,https://edc.nyc,Economic development,https://edc.nyc/rss.xml,allows,404,,,DEAD,no,2026-08-13: HTTP 404
New York,United States,New York,NYU News,https://www.nyu.edu,University research,https://www.nyu.edu/etc/feeds/news.xml,allows,200,0,,EMPTY,no,2026-08-13: 200 but the feed parsed to zero items
New York,United States,New York,Tech:NYC,https://www.technyc.org,Industry body,https://www.technyc.org/feed,allows,404,,,DEAD,no,2026-08-13: HTTP 404
New York,United States,New York,The City NYC,https://www.thecityreporter.nyc,Local news,https://www.thecityreporter.nyc/feed/,allows,200,10,1,LIVE,no,"2026-08-13: 10 items, newest 1d old, accept=rss"
New York,United States,New York,The Rockefeller University,https://www.rockefeller.edu,Bio research,https://www.rockefeller.edu/news/feed/,allows,200,0,,EMPTY,no,2026-08-13: 200 but the feed parsed to zero items
New York,United States,New York,Weill Cornell Medicine Newsroom,https://news.weill.cornell.edu,Medical research,https://news.weill.cornell.edu/rss.xml,allows,200,10,197,STALE,no,"2026-08-13: 10 items, newest 197d old"
Rest of US,United States,San Diego,Biocom California,https://www.biocom.org,Bio industry body,https://www.biocom.org/feed/,allows,200,0,,EMPTY,no,2026-08-13: 200 but the feed parsed to zero items
Rest of US,United States,,BioSpace,https://www.biospace.com,Bio trade,https://www.biospace.com/index.rss,allows,200,10,1,LIVE,no,"2026-08-13: 10 items, newest 1d old, accept=rss"
Rest of US,United States,Dallas,Dallas Innovates,https://dallasinnovates.com,Local tech,https://dallasinnovates.com/feed/,allows,200,20,1,LIVE,no,"2026-08-13: 20 items, newest 1d old, accept=rss"
